regime,seed,snapshot_t,u,v,weight
stationary,101,0,0,1,0.3100485105087172
stationary,101,0,0,2,0.49989670488475696
stationary,101,0,0,3,0.0
stationary,101,0,0,4,0.0
stationary,101,0,1,2,0.5058817018547245
stationary,101,0,1,3,0.5073893126857697
stationary,101,0,1,4,0.0
stationary,101,0,2,3,0.5272290229992804
stationary,101,0,2,4,0.48074274278200635
stationary,101,0,3,4,0.3615618230516569
stationary,101,1,0,1,0.3100485105087172
stationary,101,1,0,2,0.49989670488475696
stationary,101,1,0,3,0.0
stationary,101,1,0,4,0.0
stationary,101,1,1,2,0.5058817018547245
stationary,101,1,1,3,0.5073893126857697
stationary,101,1,1,4,0.0
stationary,101,1,2,3,0.5272290229992804
stationary,101,1,2,4,0.48074274278200635
stationary,101,1,3,4,0.3615618230516569
stationary,101,2,0,1,0.3100485105087172
stationary,101,2,0,2,0.49989670488475696
stationary,101,2,0,3,0.0
stationary,101,2,0,4,0.0
stationary,101,2,1,2,0.5058817018547245
stationary,101,2,1,3,0.5073893126857697
stationary,101,2,1,4,0.0
stationary,101,2,2,3,0.5272290229992804
stationary,101,2,2,4,0.48074274278200635
stationary,101,2,3,4,0.3615618230516569
stationary,101,3,0,1,0.3100485105087172
stationary,101,3,0,2,0.49989670488475696
stationary,101,3,0,3,0.0
stationary,101,3,0,4,0.0
stationary,101,3,1,2,0.5058817018547245
stationary,101,3,1,3,0.5073893126857697
stationary,101,3,1,4,0.0
stationary,101,3,2,3,0.5272290229992804
stationary,101,3,2,4,0.48074274278200635
stationary,101,3,3,4,0.3615618230516569
stationary,101,4,0,1,0.3100485105087172
stationary,101,4,0,2,0.49989670488475696
stationary,101,4,0,3,0.0
stationary,101,4,0,4,0.0
stationary,101,4,1,2,0.5058817018547245
stationary,101,4,1,3,0.5073893126857697
stationary,101,4,1,4,0.0
stationary,101,4,2,3,0.5272290229992804
stationary,101,4,2,4,0.48074274278200635
stationary,101,4,3,4,0.3615618230516569
stationary,101,5,0,1,0.3100485105087172
stationary,101,5,0,2,0.49989670488475696
stationary,101,5,0,3,0.0
stationary,101,5,0,4,0.0
stationary,101,5,1,2,0.5058817018547245
stationary,101,5,1,3,0.5073893126857697
stationary,101,5,1,4,0.0
stationary,101,5,2,3,0.5272290229992804
stationary,101,5,2,4,0.48074274278200635
stationary,101,5,3,4,0.3615618230516569
stationary,101,6,0,1,0.3100485105087172
stationary,101,6,0,2,0.49989670488475696
stationary,101,6,0,3,0.0
stationary,101,6,0,4,0.0
stationary,101,6,1,2,0.5058817018547245
stationary,101,6,1,3,0.5073893126857697
stationary,101,6,1,4,0.0
stationary,101,6,2,3,0.5272290229992804
stationary,101,6,2,4,0.48074274278200635
stationary,101,6,3,4,0.3615618230516569
stationary,101,7,0,1,0.3100485105087172
stationary,101,7,0,2,0.49989670488475696
stationary,101,7,0,3,0.0
stationary,101,7,0,4,0.0
stationary,101,7,1,2,0.5058817018547245
stationary,101,7,1,3,0.5073893126857697
stationary,101,7,1,4,0.0
stationary,101,7,2,3,0.5272290229992804
stationary,101,7,2,4,0.48074274278200635
stationary,101,7,3,4,0.3615618230516569
stationary,101,8,0,1,0.3100485105087172
stationary,101,8,0,2,0.49989670488475696
stationary,101,8,0,3,0.0
stationary,101,8,0,4,0.0
stationary,101,8,1,2,0.5058817018547245
stationary,101,8,1,3,0.5073893126857697
stationary,101,8,1,4,0.0
stationary,101,8,2,3,0.5272290229992804
stationary,101,8,2,4,0.48074274278200635
stationary,101,8,3,4,0.3615618230516569
stationary,101,9,0,1,0.3100485105087172
stationary,101,9,0,2,0.49989670488475696
stationary,101,9,0,3,0.0
stationary,101,9,0,4,0.0
stationary,101,9,1,2,0.5058817018547245
stationary,101,9,1,3,0.5073893126857697
stationary,101,9,1,4,0.0
stationary,101,9,2,3,0.5272290229992804
stationary,101,9,2,4,0.48074274278200635
stationary,101,9,3,4,0.3615618230516569
stationary,101,10,0,1,0.3100485105087172
stationary,101,10,0,2,0.49989670488475696
stationary,101,10,0,3,0.0
stationary,101,10,0,4,0.0
stationary,101,10,1,2,0.5058817018547245
stationary,101,10,1,3,0.5073893126857697
stationary,101,10,1,4,0.0
stationary,101,10,2,3,0.5272290229992804
stationary,101,10,2,4,0.48074274278200635
stationary,101,10,3,4,0.3615618230516569
stationary,101,11,0,1,0.3100485105087172
stationary,101,11,0,2,0.49989670488475696
stationary,101,11,0,3,0.0
stationary,101,11,0,4,0.0
stationary,101,11,1,2,0.5058817018547245
stationary,101,11,1,3,0.5073893126857697
stationary,101,11,1,4,0.0
stationary,101,11,2,3,0.5272290229992804
stationary,101,11,2,4,0.48074274278200635
stationary,101,11,3,4,0.3615618230516569
stationary,102,0,0,1,0.3100485105087172
stationary,102,0,0,2,0.49989670488475696
stationary,102,0,0,3,0.0
stationary,102,0,0,4,0.0
stationary,102,0,1,2,0.5058817018547245
stationary,102,0,1,3,0.5073893126857697
stationary,102,0,1,4,0.0
stationary,102,0,2,3,0.5272290229992804
stationary,102,0,2,4,0.48074274278200635
stationary,102,0,3,4,0.3615618230516569
stationary,102,1,0,1,0.3100485105087172
stationary,102,1,0,2,0.49989670488475696
stationary,102,1,0,3,0.0
stationary,102,1,0,4,0.0
stationary,102,1,1,2,0.5058817018547245
stationary,102,1,1,3,0.5073893126857697
stationary,102,1,1,4,0.0
stationary,102,1,2,3,0.5272290229992804
stationary,102,1,2,4,0.48074274278200635
stationary,102,1,3,4,0.3615618230516569
stationary,102,2,0,1,0.3100485105087172
stationary,102,2,0,2,0.49989670488475696
stationary,102,2,0,3,0.0
stationary,102,2,0,4,0.0
stationary,102,2,1,2,0.5058817018547245
stationary,102,2,1,3,0.5073893126857697
stationary,102,2,1,4,0.0
stationary,102,2,2,3,0.5272290229992804
stationary,102,2,2,4,0.48074274278200635
stationary,102,2,3,4,0.3615618230516569
stationary,102,3,0,1,0.3100485105087172
stationary,102,3,0,2,0.49989670488475696
stationary,102,3,0,3,0.0
stationary,102,3,0,4,0.0
stationary,102,3,1,2,0.5058817018547245
stationary,102,3,1,3,0.5073893126857697
stationary,102,3,1,4,0.0
stationary,102,3,2,3,0.5272290229992804
stationary,102,3,2,4,0.48074274278200635
stationary,102,3,3,4,0.3615618230516569
stationary,102,4,0,1,0.3100485105087172
stationary,102,4,0,2,0.49989670488475696
stationary,102,4,0,3,0.0
stationary,102,4,0,4,0.0
stationary,102,4,1,2,0.5058817018547245
stationary,102,4,1,3,0.5073893126857697
stationary,102,4,1,4,0.0
stationary,102,4,2,3,0.5272290229992804
stationary,102,4,2,4,0.48074274278200635
stationary,102,4,3,4,0.3615618230516569
stationary,102,5,0,1,0.3100485105087172
stationary,102,5,0,2,0.49989670488475696
stationary,102,5,0,3,0.0
stationary,102,5,0,4,0.0
stationary,102,5,1,2,0.5058817018547245
stationary,102,5,1,3,0.5073893126857697
stationary,102,5,1,4,0.0
stationary,102,5,2,3,0.5272290229992804
stationary,102,5,2,4,0.48074274278200635
stationary,102,5,3,4,0.3615618230516569
stationary,102,6,0,1,0.3100485105087172
stationary,102,6,0,2,0.49989670488475696
stationary,102,6,0,3,0.0
stationary,102,6,0,4,0.0
stationary,102,6,1,2,0.5058817018547245
stationary,102,6,1,3,0.5073893126857697
stationary,102,6,1,4,0.0
stationary,102,6,2,3,0.5272290229992804
stationary,102,6,2,4,0.48074274278200635
stationary,102,6,3,4,0.3615618230516569
stationary,102,7,0,1,0.3100485105087172
stationary,102,7,0,2,0.49989670488475696
